1,Identifier
2,Constant
3,BConstant
4,;
5,{
6,}
7,(
8,)
9,","
10,=
11,+
12,-
13,*
14,/
15,==
16,>
17,<
18,>=
19,<=
20,!=
21,:=
22,||
23,&&
24,!
25,int
26,bool
27,if
28,then
29,else
30,while
31,do
32,read
33,write
